question,answer,text
Colovaria is also known as what?,Colour Change Charm,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Colovaria is also known as what? [/INST] Colour Change Charm </s>
What magical plant is used as a core for wands?,The unicorn hair.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What magical plant is used as a core for wands? [/INST] The unicorn hair. </s>
Why would you need to switch brooms midair?,Broom failure,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why would you need to switch brooms midair? [/INST] Broom failure </s>
What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Hogwarts caretaker who is always complaining about the students? [/INST] Argus Filch </s>
Why did the Werewolf Code of Conduct fail?,No Werewolves Signed,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why did the Werewolf Code of Conduct fail? [/INST] No Werewolves Signed </s>
What potion is brewed to counteract the effects of ingesting poison?,Antidote to Common Poisons,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What potion is brewed to counteract the effects of ingesting poison? [/INST] Antidote to Common Poisons </s>
What is the name of the spell used to summon a Patronus?,Expecto Patronum,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to summon a Patronus? [/INST] Expecto Patronum </s>
Who was the ghost of Slytherin House during Harry Potter's time at Hogwarts?,The Bloody Baron,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the ghost of Slytherin House during Harry Potter's time at Hogwarts? [/INST] The Bloody Baron </s>
Who invented the Cheering Charm?,Felix Summerbee,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who invented the Cheering Charm? [/INST] Felix Summerbee </s>
"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was Harry's first kiss, and in what book? [/INST] Cho Chang, Book 5. </s>"
What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What was the name of the orphanage where Lord Voldemort grew up? [/INST] Wool's Orphanage </s>
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!).","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him? [/INST] He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!). </s>"
Which wand wood is considered unlucky?,Elder,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which wand wood is considered unlucky? [/INST] Elder </s>
How many points is a goal worth?,Ten,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many points is a goal worth? [/INST] Ten </s>
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
Who is the Astronomy professor?,Professor Sinistra,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the Astronomy professor? [/INST] Professor Sinistra </s>
What is Bubotuber pus used for?,Clearing up acne,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Bubotuber pus used for? [/INST] Clearing up acne </s>
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean? [/INST] “Never tickle a sleeping dragon.” </s>
"Why does Peter Pettigrew betray Harry’s parents in ""Harry Potter and the Prisoner of Azkaban""?","Out of fear for his own life, he reveals the Potters’ location to Voldemort.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Peter Pettigrew betray Harry’s parents in ""Harry Potter and the Prisoner of Azkaban""? [/INST] Out of fear for his own life, he reveals the Potters’ location to Voldemort. </s>"
What is the name of the wizarding hospital in London?,St. Mungo's Hospital for Magical Maladies and Injuries,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the wizarding hospital in London? [/INST] St. Mungo's Hospital for Magical Maladies and Injuries </s>
Which of these is not a form of Transfiguration?,Enchantment,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of these is not a form of Transfiguration? [/INST] Enchantment </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What magical sport is popular in North America? [/INST] Quodpot </s>
What is the primary use of Murtlap essence?,Soothing wounds,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the primary use of Murtlap essence? [/INST] Soothing wounds </s>
How does Snape’s complicated relationship with Lily Potter influence his actions?,"Snape’s unrequited love for Lily drives much of his behavior, leading him to protect Harry while harboring resentment towards him.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Snape’s complicated relationship with Lily Potter influence his actions? [/INST] Snape’s unrequited love for Lily drives much of his behavior, leading him to protect Harry while harboring resentment towards him. </s>"
